,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,Scrypt,PoW/PoS,41.99995383,42
404,Scrypt,PoW/PoS,1055184902.04,532000000
1337,X13,PoW/PoS,29279424622.5027,314159265359
BTC,SHA-256,PoW,17927175.0,21000000
ETH,Ethash,PoW,107684222.6865,0
LTC,Scrypt,PoW,63039243.3000049,84000000
DASH,X11,PoW/PoS,9031294.37563393,22000000
XMR,CryptoNight-V7,PoW,17201143.1449131,0
ETC,Ethash,PoW,113359703.0,210000000
ZEC,Equihash,PoW,7383056.25,21000000
BTS,SHA-512,PoS,2741570000.0,3600570502
DGB,Multiple,PoW,11406219141.0,21000000000
BTCD,SHA-256,PoW/PoS,1288862.0,22000000
XPY,SHA-256,PoS,11995334.8847328,12500000
PRC,Scrypt,PoW,5768310.0,21000000
KOBO,X15,PoW/PoS,25542535.5881841,350000000
SPR,X11,PoW,11149733.9976203,20000000
ARG,Scrypt,PoW,12205795.4449549,64000000
AUR,Scrypt,PoW/PoS,18135099.992959,16768584
BLU,Scrypt,PoW/PoS,635423900.0,0
XMY,Multiple,PoW,1688254250.0,2000000000
MOON,Scrypt,PoW,88.0,384000000000
ZET,SHA-256,PoW,170204389.754849,169795588
SXC,Scrypt,PoW,128940951.183046,250000000
QTL,Scrypt,PoW,7357794.7925,100000000
ENRG,Scrypt,PoW/PoS,123062801.128773,0
QRK,Quark,PoW,259557164.91477,247000000
RIC,Groestl,PoW,49548585.1412917,84000000
DGC,Scrypt,PoW,33442988.3440364,48166000
BTB,Scrypt,PoW/PoS,42579.476901,500000
CAT,Scrypt,PoW,7219956.64626131,21000000 
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000
CCN,Scrypt,PoW,4703879.51824446,13140000
CRYPT,X11,PoW,4996986.20575291,18000000
CSC,Scrypt,PoC,39999997299.8568,40000000000
DMD,Groestl,PoW/PoS,3304487.74735637,4380000
XVG,Multiple,PoW,15929530669.1206,16555000000
DVC,SHA-256,PoW,18773857500.0,21000000000
EAC,Scrypt,PoW,12539015186.822,13500000000
EFL,Scrypt,PoW,20910478.8062499,21000000 
EMC2,Scrypt,PoW,218871896.499999,299792458
EMD,Scrypt,PoW,19496786.31025,32000000
EXCL,PoS,PoS,5679705.0,0
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0
FRK,Scrypt,PoW,1142732.14912776,11235813
FTC,NeoScrypt,PoW,208669093.00773,336000000
GDC,Scrypt,PoW,884125802.0,1420609614
GLC,Scrypt,PoW,65672720.4708748,70000000
GLD,Scrypt,PoW,41658647.9999715,72245700
HBN,Scrypt,PoW/PoS,89266933.684704,120000000
HYP,X11,PoS,1678520090.7713,0
IFC,Scrypt,PoW,90595753018.6314,90600000000
IOC,X11,PoW/PoS,17650913.9743456,22000000
IXC,SHA-256,PoW,21089348.999,21000000
KGC,Scrypt,PoW,151447649.8,265420800
LKY,Scrypt,PoW,19326319.14375,20000000
LTB,Scrypt,PoW,1104344.22938102,1350000
MAX,SHA3,PoW/PoS,61445805.0,100000000
MEC,Scrypt,PoW,38151999.9930997,42000000
